Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum115558	Mitochondrial biogenesis AIM24
Breviolum308591	alpha-1,2-mannosyltransferase
Breviolum238300	xylan 1,4-beta-xylosidase activity
Breviolum79622	CreA protein
Breviolum17452	Calcineurin-like phosphoesterase
Breviolum147975	long-chain fatty acid transporter activity
Breviolum86254	Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins
Breviolum118341	Chlorophyll A-B binding protein
Breviolum60924	Ca2+ insensitive EF hand
Breviolum159950	Exosome component EXOSC1/CSL4
Breviolum23053	Tetratricopeptide repeat
Breviolum178110	EF-hand domain pair
Breviolum112463	Dual specificity tyrosine-phosphorylation-regulated kinase
Breviolum65473	Belongs to the iron ascorbate-dependent oxidoreductase family
Breviolum238064	dynein light intermediate chain binding
Breviolum62624	enoyl-CoA delta isomerase 2
Breviolum284647	Enoyl-(Acyl carrier protein) reductase
Breviolum83202	decanoate-CoA ligase activity
Breviolum144990	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum207122	Responsible for synthesis of pseudouridine from uracil
Breviolum77556	UDP-glucose glycoprotein glucosyltransferase
Breviolum58979	MMPL family
Breviolum237120	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum16120	-
Breviolum50953	Cold shock domain-containing protein 4-like
Breviolum60336	Microtubule binding
Breviolum84567	Non-ribosomal peptide synthetase modules and related proteins
Breviolum121981	Glycine-rich domain-containing protein-like
Breviolum157263	Linear gramicidin synthase subunit
Breviolum56339	negative regulation of transcription elongation from RNA polymerase II promoter
Breviolum208108	ABC transporter, ATP-binding protein
Breviolum12260	Dynein, axonemal, heavy chain 9
Breviolum132877	It is involved in the biological process described with transmembrane transport
Breviolum36761	protein serine/threonine kinase activity
Breviolum73729	mismatched DNA binding
Breviolum147818	Cyclic nucleotide-monophosphate binding domain
Breviolum158985	O-methyltransferase activity
Breviolum243861	Belongs to the BI1 family
Breviolum16763	CRT-like, chloroquine-resistance transporter-like
Breviolum143933	serine-type peptidase activity
Breviolum43367	oxidoreductase activity, acting on a sulfur group of donors
Breviolum16234	peptidyl-prolyl cis-trans isomerase
Breviolum171853	ZIP Zinc transporter
Breviolum113244	heat shock protein 70
Breviolum205373	Belongs to the dihydrofolate reductase family
Breviolum239400	oxidation-reduction process
Breviolum147508	NAD(P)H-binding
Breviolum253126	PH domain
Breviolum67724	protein kinase regulator activity
Breviolum3693	-
Breviolum65042	glycyl-tRNA aminoacylation
Breviolum81504	Belongs to the protein kinase superfamily
Breviolum183177	Peptidase family S51
Breviolum16167	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Breviolum72839	60S ribosomal protein L24
Breviolum112007	alpha-galactosidase
Breviolum44265	actin filament capping
Breviolum56659	Belongs to the glycosyl hydrolase 7 (cellulase C) family
Breviolum87329	protein serine/threonine kinase activity
Breviolum209526	involuntary skeletal muscle contraction
Breviolum204720	Enoyl-CoA hydratase
Breviolum21989	electron carrier activity. It is involved in the biological process described with oxidation-reduction process
Breviolum64817	Peptidyl-tRNA hydrolase ICT1
Breviolum206989	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
Breviolum78739	Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
Breviolum143687	Phosphoribosylformylglycinamidine cyclo-ligase
Breviolum311379	phosphate ion transmembrane transport
Breviolum209890	heavy chain
Breviolum83082	Belongs to the type-B carboxylesterase lipase family
Breviolum57322	Lung seven transmembrane receptor
Breviolum273020	zinc metalloprotease
Breviolum12125	DNA-3'-diphospho-5'-guanosine diphosphatase
Breviolum176743	Nuclear pore complex protein
Breviolum43025	oxidoreductase activity, acting on superoxide radicals as acceptor
Breviolum92230	ATP-binding cassette, subfamily C (CFTR MRP), member 5
Breviolum50255	RNA-binding protein mei2 homologue
Breviolum105211	Sugar (and other) transporter
Breviolum205741	Belongs to the peroxidase family
Breviolum38950	protein conserved in bacteria
Breviolum44108	Source PGD
Breviolum245277	WD repeat
Breviolum249979	negative regulation of ryanodine-sensitive calcium-release channel activity
Breviolum52403	SMART alpha amylase, catalytic sub domain
Breviolum148700	Binds specifically and directly to substrates containing either a simple or bipartite NLS motif. Promotes docking of import substrates to the nuclear envelope
Breviolum182914	Formyl transferase, C-terminal domain
Breviolum112519	Glutamine synthetase type III N terminal
Breviolum15276	molybdopterin synthase activity
Breviolum273858	ABC transporter G family member
Breviolum272484	RNA binding
Breviolum204755	PFAM pseudouridine synthase
Breviolum56994	2OG-Fe(II) oxygenase superfamily
Breviolum155994	Glucokinase
Breviolum117310	Peptidyl-prolyl cis-trans
Breviolum37283	tail specific protease
Breviolum272272	Peptidyl-prolyl cis-trans isomerase
Breviolum174589	endo-1,3(4)-beta-glucanase
Breviolum250577	proton export across plasma membrane
Breviolum101084	Multidrug resistance-associated protein
Breviolum120350	inorganic anion exchanger activity
Breviolum208173	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
Breviolum69378	Persulfide dioxygenase ETHE1 homolog
Breviolum146768	Trehalose-phosphatase
Breviolum68211	Belongs to the peptidase C1 family
Breviolum58506	DNA polymerase
Breviolum243976	U2 snRNP-associated SURP
Breviolum58336	Transcription factor TFIIB repeat
Breviolum64702	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
Breviolum98111	Belongs to the protein kinase superfamily
Breviolum207168	microtubule-severing ATPase activity
Breviolum130188	FR47-like protein
Breviolum17159	protein-disulfide reductase activity
Breviolum60122	It is involved in the biological process described with
Breviolum124074	tryptophan synthase activity
Breviolum57493	Belongs to the Nudix hydrolase family
Breviolum84302	alpha/beta hydrolase fold
Breviolum69515	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
Breviolum275375	transporter
Breviolum24733	2-dehydro-3-deoxyphosphogluconate aldolase 4-hydroxy-2-oxoglutarate aldolase
Breviolum61434	DEAD-box RNA helicase-like protein required for pre-18S rRNA processing, specifically at sites A0, A1, and A2
Breviolum84644	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Breviolum133248	Chlorophyll A-B binding protein
Breviolum178208	Amidohydrolase
Breviolum158739	fatty acid elongation, saturated fatty acid
Breviolum243055	ADP-ribosylation factor-like protein
Breviolum274097	Mechanosensitive ion channel
Breviolum151089	3' exoribonuclease family, domain 1
Breviolum45253	Golgi calcium ion transport
Breviolum79178	phytol kinase activity
Breviolum73026	galactosyl transferase GMA12/MNN10 family
Breviolum86624	Mitochondrial-processing peptidase subunit beta
Breviolum91333	Serine/Threonine protein kinases, catalytic domain
Breviolum119086	COG0318 Acyl-CoA synthetases (AMP-forming) AMP-acid ligases II
Breviolum17477	Sulphur transport
Breviolum180905	phosphate ion transmembrane transport
Breviolum113565	dUTP diphosphatase activity. It is involved in the biological process described with dUTP metabolic process
Breviolum206692	Belongs to the cytochrome b5 family
Breviolum17327	carbohydrate kinase activity
Breviolum157301	ABC-2 type transporter
Breviolum24669	Domain of unknown function (DUF3336)
Breviolum123588	beta-galactosidase
Breviolum110217	sphingolipid transporter activity
Breviolum72991	Glycosyl hydrolase family 3 N terminal domain
Breviolum132889	SNF2 Helicase protein
Breviolum307951	ADP-ribosylation factor GTPase-activating protein
Breviolum177752	DNA excision repair protein
Breviolum276630	Endonuclease Exonuclease phosphatase
Breviolum121687	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
Breviolum103301	Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II
Breviolum103946	alpha-methylacyl-CoA racemase
Breviolum83210	Mitochondrial substrate carrier family protein
Breviolum277636	pyrimidine nucleotide-sugar transmembrane transporter activity
Breviolum99858	CCR4-NOT transcription complex subunit 8
Breviolum156919	oligopeptidase activity
Breviolum30297	Glutamate-cysteine ligase
Breviolum20750	Altered inheritance of mitochondria protein 24, mitochondrial
Breviolum57962	Cell wall-active antibiotics response 4TMS YvqF
Breviolum183541	ATPase activity, coupled to transmembrane movement of substances
Breviolum180638	aldose 1-epimerase activity
Breviolum277586	Glycine cleavage T-protein C-terminal barrel domain
Breviolum181046	Ran GTPase binding
Breviolum158140	protein serine/threonine kinase activity
Breviolum92523	Membrane bound O-acyl transferase family
Breviolum173636	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum102974	phosphoglycerate kinase activity
Breviolum61431	transporter
Breviolum291943	RING finger protein 122
Breviolum210190	O-methyltransferase activity
Breviolum30945	CAP-Gly domain-containing linker protein
Breviolum64573	Protein tyrosine kinase
Breviolum156691	Calcium-dependent protein kinase
Breviolum96622	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Breviolum45497	NAD+ ADP-ribosyltransferase activity
Breviolum275379	Allomyces macrogynus ATCC 38327 NEK protein kinase
Breviolum44579	RNA pseudouridylate synthase
Breviolum109298	COP9 signalosome complex subunit
Breviolum240797	phosphopyruvate hydratase activity
Breviolum23513	Protein tyrosine kinase
Breviolum54566	Oxidoreductase
Breviolum238271	UDP-4-amino-4-deoxy-L-arabinose aminotransferase
Breviolum272247	ATP binding
Breviolum54314	May play a role in vesicular transport from endoplasmic reticulum to Golgi
Breviolum136779	Lactonase, 7-bladed beta-propeller
Breviolum241117	procollagen galactosyltransferase activity
Breviolum45912	Source PGD
Breviolum272794	Belongs to the peptidase M16 family
Breviolum100230	DNA mismatch repair protein
Breviolum206663	oxidation-reduction process
Breviolum50568	Trypsin-like peptidase domain
Breviolum94504	Glycosyl hydrolase family 3 N terminal domain
Breviolum83929	Belongs to the type-B carboxylesterase lipase family
Breviolum69582	Major Facilitator Superfamily
Breviolum42576	Alpha/beta hydrolase family
Breviolum20863	Belongs to the eukaryotic ribosomal protein eL27 family
Breviolum88570	PPPDE putative peptidase domain
Breviolum84342	POT family
Breviolum94725	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity
Breviolum35989	protein serine/threonine phosphatase activity
Breviolum97621	UbiA prenyltransferase
Breviolum163020	Acetyltransferase (GNAT) domain
Breviolum83035	Binds the poly(A) tail of mRNA
Breviolum238674	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Breviolum56756	NADH flavin oxidoreductase NADH oxidase
Breviolum84391	ABC transporter E family member
Breviolum54322	COG0607 Rhodanese-related sulfurtransferase
Breviolum15247	Glutamine amidotransferase
Breviolum187700	Efflux ABC transporter, permease ATP-binding protein
Breviolum15234	oxidoreductase activity
Breviolum55120	Hydroxyproline-rich glycoprotein family protein
Breviolum28960	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
Breviolum39433	ubiE/COQ5 methyltransferase family
Breviolum40385	Belongs to the MIP aquaporin (TC 1.A.8) family
Breviolum194580	Radical SAM superfamily
Breviolum22826	transport protein particle component Bet3
Breviolum155955	Belongs to the DHHC palmitoyltransferase family
Breviolum80339	Serine/threonine phosphatases, family 2C, catalytic domain
Breviolum16351	Diacylglycerol acyltransferase
Breviolum174546	to Saccharomyces cerevisiae DJP1 (YIR004W)
Breviolum57020	Interconversion of serine and glycine
Breviolum105172	single-stranded DNA binding
Breviolum210445	deSI-like protein At4g17486
Breviolum313078	thiosulfate transmembrane transporter activity
Breviolum157789	NADPH adrenodoxin oxidoreductase
Breviolum154733	procollagen-proline 4-dioxygenase activity
Breviolum274893	Biotin protein ligase C terminal domain
Breviolum126257	Belongs to the DEAD box helicase family
Breviolum53821	DnaJ-class molecular chaperone with C-terminal Zn finger
Breviolum215470	Apyrase
Breviolum157759	Belongs to the small GTPase superfamily. Arf family
Breviolum175062	Tetratricopeptide repeat
Breviolum144519	Solute carrier family 8 (sodium calcium exchanger), member 2
Breviolum126905	Belongs to the class-I aminoacyl-tRNA synthetase family
Breviolum43395	microtubule motor activity
Breviolum176126	tRNA dihydrouridine synthase activity
Breviolum82500	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
Breviolum139136	Protein kinase domain
Breviolum50858	Ankyrin repeats (many copies)
Breviolum22360	regulation of eosinophil chemotaxis
Breviolum206397	Ion channel
Breviolum209795	surfactant homeostasis
Breviolum244916	Mannosyl-oligosaccharide glucosidase
Breviolum113215	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Breviolum74302	ATP binding
Breviolum122377	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Breviolum272436	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
